[0.00s -> 29.36s]  I don't know.
[30.00s -> 38.42s]  The KBC Club consists of a number of banks and insurance companies in Europe.
[39.44s -> 40.92s]  So we have KBC in Belgium.
[41.70s -> 46.86s]  We have, which is called Cezo Bay in Czech Republic.
[47.52s -> 49.22s]  We have Cezo Bay in Slovakia.
[49.36s -> 50.82s]  Slovakia, Hungary.
[51.66s -> 54.62s]  Hungary, E&H Bank in Hungary.
[55.26s -> 58.34s]  And then in Bulgaria, we have UBB also.
[58.34s -> 58.94s]  Yes.
[58.94s -> 62.40s]  We had Ireland, but we sold it.
[63.08s -> 63.32s]  Okay.
[64.16s -> 66.22s]  So these are the main entities.
[67.10s -> 71.92s]  And of course, if you would have an overview, we will see it later,
[72.08s -> 76.34s]  of all the legal entities of the group, we have about 60, 65 legal entities.
[77.24s -> 77.64s]  Okay.
[78.12s -> 80.86s]  KBC Asset Management, Lease Company.
[81.72s -> 84.84s]  So all the smaller companies are all legal entities.
[85.52s -> 86.12s]  Okay.
[86.12s -> 87.54s]  And from those 65,
[87.54s -> 94.10s]  the European Central Bank says all financial entities,
[94.10s -> 99.76s]  so under financial entities, you have the banks, the insurance companies, the asset managers,
[100.56s -> 102.56s]  the pension funds, etc.
[102.56s -> 103.06s]  Yeah.
[103.80s -> 110.52s]  They should comply with the DORA, Digital Operational Resilience Act.
[110.52s -> 111.34s]  Act, yes.
[111.34s -> 114.54s]  By the 17th of January 2025.
[114.90s -> 115.66s]  2025.
[115.66s -> 116.16s]  Okay.
[116.16s -> 116.66s]  Yeah.
[116.66s -> 117.16s]  Yeah.
[117.16s -> 132.58s]  So they issued the laws, I think it was already in 2022, and it was approved in 2023, and it
[132.58s -> 136.36s]  was a text of 100, 200 pages, legal text.
[136.88s -> 137.38s]  Okay.
[137.38s -> 144.82s]  So very difficult to see, to interpret exactly what the requirements are.
[146.02s -> 146.98s]  But they,
[147.16s -> 154.34s]  they publish now and then what they call RTS, Regulatory Technical Standards.
[155.28s -> 161.26s]  So this gives more detail on the legal texts, how to implement it,
[161.52s -> 165.76s]  what the specific requirements are in the different domains of DORA.
[166.02s -> 166.40s]  Okay.
[166.40s -> 168.76s]  So DORA has four pillars.
[169.82s -> 171.92s]  The first pillar is risk management.
[171.92s -> 172.42s]  Mm-hmm.
[173.12s -> 175.76s]  The second is incident management.
[176.56s -> 177.12s]  The second is?
[177.12s -> 178.42s]  The second pillar.
[178.42s -> 178.92s]  Nice.
[178.92s -> 179.68s]  Incident management.
[179.68s -> 180.18s]  Incident.
[180.18s -> 180.68s]  Yeah.
[180.68s -> 186.68s]  The third pillar is threat level penetration testing.
[186.68s -> 187.18s]  Okay.
[187.18s -> 188.12s]  So pen testing.
[188.12s -> 189.12s]  Pen testing, yeah.
[189.12s -> 193.88s]  Threat level, so it's, it's another, it's mainly red team testing.
[193.88s -> 194.38s]  Mm-hmm.
[194.38s -> 194.88s]  Okay.
[195.62s -> 200.28s]  And the fourth pillar is third party risk management.
[200.84s -> 201.34s]  Mm-hmm.
[201.70s -> 205.24s]  So the risks that third parties imposes on your business.
[205.24s -> 205.70s]  Mm-hmm.
[205.70s -> 206.24s]  So the risks that third parties imposes on your business.
[206.24s -> 206.54s]  Mm-hmm.
[206.54s -> 211.14s]  So for example we use some Microsoft.
[211.14s -> 211.64s]  Mm-hmm.
[211.64s -> 212.14s]  Mm-hmm.
[212.14s -> 214.64s]  It's, it's all about IT, IT services.
[214.64s -> 215.44s]  Okay.
[215.44s -> 215.94s]  Yeah.
[215.94s -> 218.64s]  DORA is digital operation.
[218.64s -> 219.04s]  Yeah.
[219.04s -> 219.28s]  Yeah.
[219.28s -> 219.80s]  So it's IT.
[219.80s -> 220.56s]  IT, IT .
[220.56s -> 220.90s]  Yeah.
[220.90s -> 221.08s]  Yeah.
[221.08s -> 227.62s]  So the fourth pillar is third party risk management.
[227.62s -> 236.24s]  So they, they, Europe ECB, Europe Central Bank wants to know what risk management is.
[236.24s -> 246.24s]  risks are imposed by third-party providers, Amazon, Microsoft, Google, also the smaller
[246.24s -> 253.92s]  companies. If we use a software for a very small company, for a certain business in the bank,
[254.56s -> 262.08s]  then if this company goes broke, then what is the risk for the bank? So he wants to have
[262.08s -> 269.60s]  an overall view on the European level, what are the providers, who is providing services to banks,
[270.96s -> 275.68s]  and how critical are they? Because if many banks use the same provider,
[277.04s -> 282.40s]  and this provider is not performing well or it goes broke, what is then the impact on the
[282.40s -> 290.96s]  financial system? Systemic risk. So they want to know that. And one part of this
[290.96s -> 292.08s]  third-party risk management, the third-party risk management, is the risk of the third party.
[292.08s -> 303.86s]  management is that we have to give to the ECB at least yearly a full register of information
[303.86s -> 313.58s]  of those third-party provider contracts. So we have a few thousand contracts. It's crazy.
[313.58s -> 322.82s]  How many? Only in Belgium. So all the entities of KBC have to do this job. So make an inventory
[322.82s -> 334.34s]  of all the contracts with all the detailed information that sits in a contract, put it
[334.34s -> 339.58s]  in a register and report it to the regulator.
[339.58s -> 342.58s]  And the register here is .NET application?
[342.58s -> 343.58s]  .NET application.
[343.58s -> 352.58s]  The register, well, all the contracts are put, contracts for Belgium are put in SAP,
[352.58s -> 361.58s]  SAP DMS. So procurement, when there is a new contract, procurement makes an entry in SAP,
[361.58s -> 370.58s]  so all the contract information is there. But it's not up to date. It's not complete.
[370.58s -> 372.58s]  And Dora asks many more questions.
[372.58s -> 376.58s]  Many more details that we don't have even today.
[376.58s -> 383.58s]  But we have to think about. For example, how difficult is it to change provider?
[383.58s -> 391.58s]  And you have choices. One, two, three. So this is something that we have to think about
[391.58s -> 400.58s]  and choose. So we need criteria to choose because otherwise he will say very difficult
[400.58s -> 401.58s]  and the other will say easy.
[401.58s -> 404.58s]  So we have to use criteria.
[404.58s -> 411.58s]  Or what is an alternative provider for this service?
