[0.00s -> 29.36s]  I don't know.
[30.00s -> 38.42s]  The KBC Club consists of a number of banks and insurance companies in Europe.
[39.44s -> 40.92s]  So we have KBC in Belgium.
[41.70s -> 46.86s]  We have, which is called Cezo Bay in Czech Republic.
[47.52s -> 49.22s]  We have Cezo Bay in Slovakia.
[49.36s -> 50.82s]  Slovakia, Hungary.
[51.66s -> 54.62s]  Hungary, E&H Bank in Hungary.
[55.26s -> 58.34s]  And then in Bulgaria, we have UBB also.
[58.34s -> 58.94s]  Yes.
[58.94s -> 62.40s]  We had Ireland, but we sold it.
[63.08s -> 63.32s]  Okay.
[64.16s -> 66.22s]  So these are the main entities.
[67.10s -> 71.92s]  And of course, if you would have an overview, we will see it later,
[72.08s -> 76.34s]  of all the legal entities of the group, we have about 60, 65 legal entities.
[77.24s -> 77.64s]  Okay.
[78.12s -> 80.86s]  KBC Asset Management, Lease Company.
[81.72s -> 84.84s]  So all the smaller companies are all legal entities.
[85.52s -> 86.12s]  Okay.
[86.12s -> 87.54s]  And from those 65,
[87.54s -> 93.90s]  the European Central Bank says all financial entities,
[93.90s -> 99.78s]  so under financial entities, you have the banks, the insurance companies, the asset managers,
[99.78s -> 102.54s]  the pension funds, etc.
[102.54s -> 103.04s]  Yeah.
[103.82s -> 110.54s]  They should comply with the DORA, Digital Operational Resilience Act.
[110.54s -> 111.34s]  Act, yes.
[111.34s -> 114.64s]  By the 17th of January 2025.
[114.64s -> 115.74s]  2025.
[115.74s -> 116.24s]  Okay.
[116.24s -> 116.74s]  Yeah.
[116.74s -> 117.24s]  Yeah.
[117.24s -> 132.52s]  So they issued the laws, I think it was already in 2022, and it was approved in 2023, and it
[132.52s -> 136.52s]  was a text of 100, 200 pages, legal text.
[136.52s -> 137.52s]  Okay.
[137.52s -> 145.42s]  So very difficult to see, to interpret exactly what the requirements are.
[145.42s -> 146.42s]  Yeah.
[146.42s -> 155.36s]  And they publish now and then what they call RTS, Regulatory Technical Standards.
[155.36s -> 163.24s]  So this gives more detail on the legal texts, how to implement it, what the specific requirements
[163.24s -> 165.70s]  are in the different domains of DORA.
[165.70s -> 166.70s]  Okay.
[166.70s -> 167.70s]  Okay.
[167.70s -> 168.70s]  So DORA has four pillars.
[168.70s -> 171.70s]  The first pillar is risk management.
[171.70s -> 172.70s]  Uh-huh.
[172.70s -> 173.70s]  The second is incident management.
[173.70s -> 174.70s]  Okay.
[174.70s -> 175.70s]  Okay.
[176.42s -> 177.42s]  The second is?
[177.42s -> 178.42s]  The second pillar.
[178.42s -> 179.42s]  Nice.
[179.42s -> 180.42s]  Incident management.
[180.42s -> 181.42s]  Incident.
[181.42s -> 186.42s]  The third pillar is threat level penetration testing.
[186.42s -> 187.42s]  Okay.
[187.42s -> 188.42s]  So pen testing.
[188.42s -> 189.42s]  Pen testing, yeah.
[189.42s -> 190.42s]  Threat level.
[190.42s -> 194.42s]  So it's another, it's mainly red team testing.
[194.42s -> 195.42s]  Okay.
[195.42s -> 200.42s]  And the fourth pillar is third party risk management.
[200.42s -> 201.42s]  Uh-huh.
[201.42s -> 206.42s]  So the risks that third parties imposes on them.
[206.42s -> 207.42s]  Okay.
[207.42s -> 208.42s]  So they, you know, it depends on the business.
[208.42s -> 209.42s]  So for example, we use some Microsoft.
[209.42s -> 210.42s]  It's all about IT, IT services.
[210.42s -> 211.42s]  Okay.
[211.42s -> 212.42s]  DORA is digital operation.
[212.42s -> 213.42s]  Digital operation.
[213.42s -> 214.42s]  Yeah.
[214.42s -> 215.42s]  Yeah.
[215.42s -> 216.42s]  So it's IT.
[216.42s -> 217.42s]  IT, IT, IT.
[217.42s -> 218.42s]  Yeah.
[218.42s -> 219.42s]  So the fourth pillar is third party risk management.
[219.42s -> 224.42s]  So they, they, Europe ECB, Europe Central Bank wants to know what risk problems we have,
[224.42s -> 225.42s]  you know, what is the risk?
[225.42s -> 226.42s]  What are the risks?
[226.42s -> 227.42s]  What are the risk factors?
[227.42s -> 228.42s]  You know, these are the three pillars.
[228.42s -> 229.42s]  So the third pillar is risk management.
[229.42s -> 230.42s]  So they, they, you know, they, you know, they, you know, they, you know, they, you
[230.42s -> 241.42s]  ECB, Europe Central Bank, wants to know what risks are imposed by third party providers.
[241.42s -> 244.42s]  Amazon, Microsoft, Google.
[244.42s -> 246.42s]  Those are the small companies.
[246.42s -> 254.42s]  If we use a software for a very small company, for a certain business in the bank,
[254.42s -> 260.42s]  then if this company goes broke, then what is the risk for the bank?
[260.42s -> 265.42s]  ECB wants to have an overall view on the European level.
[265.42s -> 267.42s]  What are the providers?
[267.42s -> 270.42s]  Who is providing services to banks?
[270.42s -> 273.42s]  And how critical are they?
[273.42s -> 276.42s]  Because if many banks use the same provider,
[276.42s -> 280.42s]  and this provider is not performing well or it goes broke,
[280.42s -> 283.42s]  what is then the impact on the financial system?
[283.42s -> 284.42s]  Yes.
[284.42s -> 286.42s]  Systemic risks.
[286.42s -> 289.42s]  So they want to know that.
[289.42s -> 299.42s]  And one part of this third party risk management is that we have to give to the ECB at least yearly
[299.42s -> 308.42s]  a full register of information of those third party provider contracts.
[308.42s -> 312.42s]  So we have a few thousand contracts.
[312.42s -> 313.42s]  It's crazy.
[313.42s -> 314.42s]  How many?
[314.42s -> 316.42s]  Only in Belgium.
[316.42s -> 320.42s]  So all the entities of KBC have to do this job.
[320.42s -> 321.42s]  Okay.
[321.42s -> 333.42s]  So make an inventory of all the contracts with all the detailed information that sits in a contract,
[333.42s -> 339.42s]  put it in a register and report it to the regulator.
[339.42s -> 343.42s]  And the register here is .NET application?
[343.42s -> 354.42s]  The register, well, all the contracts are put, contracts for Belgium are put in SAP, SAP DMS.
[354.42s -> 362.42s]  So procurement, when there is a new contract, procurement makes an entry in SAP of the contract.
[362.42s -> 365.42s]  So all the contract information is there.
